ground_truth_category,POS,count,relative_frequency
achievement,ADJ,6018,0.07885633418942292
achievement,ADP,7529,0.09865558991561403
achievement,ADV,3682,0.04824676345720426
achievement,CONJ,1877,0.024595104565228787
achievement,DET,6797,0.08906389223753866
achievement,NOUN,16734,0.21927249855862466
achievement,NUM,1051,0.013771686147072698
achievement,PRON,9910,0.12985481419361602
achievement,PRT,2412,0.031605430053986056
achievement,PUNCT,6009,0.07873840348026626
achievement,VERB,14281,0.18712982860736935
achievement,X,16,2.0965459405629226e-4
affection,ADJ,7467,0.06905704350399526
affection,ADP,9926,0.0917986090559337
affection,ADV,5358,0.049552382361645456
affection,CONJ,3665,0.03389501331754957
affection,DET,7187,0.06646751997632436
affection,NOUN,25000,0.2312074578277597
affection,NUM,972,0.008989345960343297
affection,PRON,17232,0.1593666765315182
affection,PRT,4210,0.038935335898194735
affection,PUNCT,8617,0.07969258656407222
affection,VERB,18470,0.17081606984314887
affection,X,24,2.219591595146493e-4
bonding,ADJ,2495,0.0712084023060677
bonding,ADP,3610,0.10303099491980136
bonding,ADV,1367,0.039014783948855526
bonding,CONJ,1081,0.03085221759232833
bonding,DET,2905,0.08290998344654375
bonding,NOUN,8595,0.24530509732290656
bonding,NUM,311,0.008876077401678178
bonding,PRON,4815,0.13742222729607853
bonding,PRT,1433,0.040898453108054116
bonding,PUNCT,2585,0.07377704206861123
bonding,VERB,5835,0.16653347793823847
bonding,X,6,1.7124265083623495e-4
enjoy_the_moment,ADJ,2759,0.08606813077115048
enjoy_the_moment,ADP,2840,0.08859495882206139
enjoy_the_moment,ADV,1716,0.05353132018966808
enjoy_the_moment,CONJ,939,0.029292488145744946
enjoy_the_moment,DET,2872,0.08959321187921138
enjoy_the_moment,NOUN,7178,0.22392063888195657
enjoy_the_moment,NUM,322,0.010044921387571749
enjoy_the_moment,PRON,3742,0.11673321687047666
enjoy_the_moment,PRT,1027,0.03203768405290741
enjoy_the_moment,PUNCT,2780,0.08672323433990517
enjoy_the_moment,VERB,5876,0.18330421761916646
enjoy_the_moment,X,5,1.5597704017968555e-4
exercise,ADJ,240,0.07692307692307693
exercise,ADP,308,0.09871794871794871
exercise,ADV,126,0.04038461538461539
exercise,CONJ,106,0.03397435897435897
exercise,DET,327,0.10480769230769231
exercise,NOUN,627,0.20096153846153847
exercise,NUM,62,0.01987179487179487
exercise,PRON,353,0.11314102564102564
exercise,PRT,121,0.03878205128205128
exercise,PUNCT,259,0.08301282051282051
exercise,VERB,591,0.18942307692307692
leisure,ADJ,1301,0.08314161554192229
leisure,ADP,1323,0.08454754601226994
leisure,ADV,523,0.03342280163599182
leisure,CONJ,386,0.024667689161554193
leisure,DET,1418,0.09061860940695296
leisure,NOUN,3921,0.25057515337423314
leisure,NUM,150,0.009585889570552147
leisure,PRON,1834,0.11720347648261759
leisure,PRT,620,0.03962167689161554
leisure,PUNCT,1284,0.08205521472392638
leisure,VERB,2887,0.18449642126789367
leisure,X,1,6.390593047034765e-5
nature,ADJ,394,0.07930756843800323
nature,ADP,516,0.10386473429951691
nature,ADV,294,0.059178743961352656
nature,CONJ,216,0.043478260869565216
nature,DET,535,0.10768921095008052
nature,NOUN,1017,0.20471014492753623
nature,NUM,28,0.005636070853462158
nature,PRON,497,0.1000402576489533
nature,PRT,158,0.03180354267310789
nature,PUNCT,387,0.07789855072463768
nature,VERB,925,0.1861916264090177
nature,X,1,2.0128824476650564e-4
